,USD/BRL
2024-11-14,5.77960
2024-11-12,5.74820
2024-11-11,5.75540
2024-11-10,5.73640
2024-11-07,5.69100
2024-11-06,5.67480
2024-11-05,5.73980
2024-11-04,5.79060
2024-11-03,5.67753
2024-10-31,5.78940
2024-10-30,5.76230
2024-10-29,5.76000
2024-10-28,5.71020
2024-10-27,5.68581
2024-10-24,5.66400
2024-10-23,5.68650
2024-10-22,5.68930
2024-10-21,5.68810
2024-10-20,5.63590
2024-10-17,5.65180
2024-10-16,5.66800
2024-10-15,5.65200
2024-10-14,5.59470
2024-10-13,5.61060
2024-10-10,5.58170
2024-10-09,5.59610
2024-10-08,5.53470
2024-10-07,5.49420
2024-10-06,5.45430
2024-10-03,5.47630
2024-10-02,5.44030
2024-10-01,5.42400
2024-09-30,5.44850
2024-09-29,5.43320
2024-09-26,5.43670
2024-09-25,5.47380
2024-09-24,5.44970
2024-09-23,5.53610
2024-09-22,5.51360
2024-09-19,5.42390
2024-09-18,5.46100
2024-09-17,5.48170
2024-09-16,5.50390
2024-09-15,5.61237
2024-09-12,5.62570
2024-09-11,5.66740
2024-09-10,5.66290
2024-09-09,5.58430
2024-09-08,5.59660
2024-09-05,5.56750
2024-09-04,5.64200
2024-09-03,5.64750
2024-09-02,5.61510
2024-09-01,5.60920
2024-08-29,5.62770
2024-08-28,5.56220
2024-08-27,5.50790
2024-08-26,5.49570
2024-08-25,5.48540
2024-08-22,5.59090
2024-08-21,5.48250
2024-08-20,5.47810
2024-08-19,5.40560
2024-08-18,5.47130
2024-08-15,5.48490
2024-08-14,5.46890
2024-08-13,5.45570
2024-08-12,5.49190
2024-08-11,5.50630
2024-08-08,5.54610
2024-08-07,5.63580
2024-08-06,5.65550
2024-08-05,5.72090
2024-08-04,5.72670
2024-08-01,5.75060
2024-07-31,5.65660
2024-07-30,5.61110
2024-07-29,5.61450
2024-07-28,5.62284
2024-07-25,5.64310
2024-07-24,5.65360
2024-07-23,5.58530
2024-07-22,5.57070
2024-07-21,5.52087
2024-07-18,5.54320
2024-07-17,5.48770
2024-07-16,5.42430
2024-07-15,5.44680
2024-07-14,5.42280
2024-07-11,5.43800
2024-07-10,5.41470
2024-07-09,5.41710
2024-07-08,5.47040
2024-07-07,5.47129
2024-07-04,5.48640
2024-07-03,5.55540
2024-07-02,5.67550
2024-07-01,5.65500
2024-06-30,5.59190
2024-06-27,5.50050
2024-06-26,5.52250
2024-06-25,5.45070
2024-06-24,5.38930
2024-06-23,5.42613
2024-06-20,5.45240
2024-06-19,5.42240
2024-06-18,5.43990
2024-06-17,5.42400
2024-06-16,5.35720
2024-06-13,5.36160
2024-06-12,5.40100
2024-06-11,5.36490
2024-06-10,5.35280
2024-06-09,5.27044
2024-06-06,5.25710
2024-06-05,5.30040
2024-06-04,5.28770
2024-06-03,5.24900
2024-06-02,5.24440
2024-05-30,5.20210
2024-05-29,5.20210
2024-05-28,5.16130
2024-05-27,5.17170
2024-05-26,5.16980
2024-05-23,5.14310
2024-05-22,5.15110
2024-05-21,5.12190
2024-05-20,5.10310
2024-05-19,5.10200
2024-05-16,5.12860
2024-05-15,5.13360
2024-05-14,5.12780
2024-05-13,5.15420
2024-05-12,5.12326
2024-05-09,5.14080
2024-05-08,5.08790
2024-05-07,5.07330
2024-05-06,5.07490
2024-05-05,5.07090
2024-05-02,5.11030
2024-05-01,5.19440
2024-04-30,5.19390
2024-04-29,5.11700
2024-04-28,5.11550
2024-04-25,5.15860
2024-04-24,5.14550
2024-04-23,5.13050
2024-04-22,5.16570
2024-04-21,5.20620
2024-04-18,5.24170
2024-04-17,5.23260
2024-04-16,5.28550
2024-04-15,5.18370
2024-04-14,5.11710
2024-04-11,5.09040
2024-04-10,5.06620
2024-04-09,5.00760
2024-04-08,5.02390
2024-04-07,5.05490
2024-04-04,5.05740
2024-04-03,5.03860
2024-04-02,5.06440
2024-04-01,5.05360
2024-03-31,5.01320
2024-03-28,5.01410
2024-03-27,4.99030
2024-03-26,4.97570
2024-03-25,4.97220
2024-03-24,5.00090
2024-03-21,4.97450
2024-03-20,4.96620
2024-03-19,5.03000
2024-03-18,5.02940
2024-03-17,4.96805
2024-03-14,4.99270
2024-03-13,4.96920
2024-03-12,4.96870
2024-03-11,4.97740
2024-03-10,4.97754
2024-03-07,4.93380
2024-03-06,4.94360
2024-03-05,4.95710
2024-03-04,4.94490
2024-03-03,4.95270
2024-02-29,4.96980
